Rank,Metro,New housing units authorized per 1k existing homes (2024),New housing units authorized per 1k existing homes (2022),Total new housing units authorized (2024),Total new housing units authorized (2022),Percentage change in housing units authorized (2022–2024),Median home price,Population
1,"Idaho Falls, ID",40.7,23.2,"2,546","1,380",+84.5%,"$408,775","161,944"
2,"Punta Gorda, FL",35.9,48.1,"4,585","5,676",-19.2%,"$319,011","195,083"
3,"Wilmington, NC",35.6,17.7,"9,618","4,421",+117.6%,"$443,552","440,578"
4,"St. George, UT",35.6,38.7,"3,152","3,196",-1.4%,"$536,093","189,827"
5,"Ocala, FL",33.7,34.5,"6,729","6,489",+3.7%,"$279,064","387,697"
6,"Cape Coral-Fort Myers, FL",33.1,30.8,"15,411","13,621",+13.1%,"$360,420","792,692"
7,"Sherman-Denison, TX",32.2,36.3,"2,142","2,220",-3.5%,"$302,359","139,988"
8,"Fayetteville-Springdale-Rogers, AR",32.0,30.7,"7,984","7,246",+10.2%,"$358,825","563,436"
9,"Myrtle Beach-Conway-North Myrtle Beach, SC",31.8,55.3,"7,331","12,000",-38.9%,"$341,411","368,937"
10,"Burlington, NC",30.5,25.3,"2,466","1,949",+26.5%,"$292,814","174,286"
11,"North Port-Bradenton-Sarasota, FL",28.9,32.4,"14,938","15,780",-5.3%,"$421,619","865,031"
12,"Raleigh-Cary, NC",28.8,36.2,"18,979","22,390",-15.2%,"$450,409","1,449,594"
13,"Austin-Round Rock-San Marcos, TX",28.6,40.5,"32,294","42,362",-23.8%,"$451,858","2,357,497"
14,"Lakeland-Winter Haven, FL",28.5,35.9,"10,384","12,211",-15.0%,"$305,514","760,961"
15,"Provo-Orem-Lehi, UT",27.9,38.3,"6,428","8,287",-22.4%,"$545,877","695,895"
16,"Daphne-Fairhope-Foley, AL",27.7,25.8,"3,883","3,417",+13.6%,"$384,740","239,945"
17,"Gainesville, GA",27.7,25.5,"2,339","2,067",+13.2%,"$390,255","208,395"
18,"Homosassa Springs, FL",27.6,19.2,"2,443","1,628",+50.1%,"$279,951","158,693"
19,"Bowling Green, KY",27.4,20.2,"2,305","1,636",+40.9%,"$261,136","183,194"
20,"Boise City, ID",26.7,32.8,"9,063","10,475",-13.5%,"$493,999","790,640"
21,"Asheville, NC",25.5,17.3,"5,378","3,531",+52.3%,"$440,608","410,817"
22,"Greeley, CO",25.1,47.7,"3,468","6,166",-43.8%,"$509,648","340,711"
23,"Hilton Head Island-Bluffton-Port Royal, SC",24.5,25.0,"3,046","2,951",+3.2%,"$521,693","222,781"
